FbID,GeneName,Type,Z_ovariole,Z_HpoEggL,Z_EggL,Overlap,FGF,VEGF,Toll,JNK,EGF,mTOR,FOXO,SHH,Hippo,JAK/STAT,Wnt,Notch,TGF B,MAPK
FBgn0263289,scrib,Seed_Negative,1.4056126943650276,9.600922395445838,4.81029358819883,010,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FBgn0003090,pk,Seed_Negative,12.177746096876879,6.7036285967852045,7.634412216406263,111,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FBgn0004647,N,Seed_Negative,8.095287924954139,6.7036285967852045,5.607802957026203,111,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FBgn0262614,pyd,Seed_Positive,2.810249099279279,3.907779939967588,0.6257127509945025,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FBgn0030530,jub,Seed_Negative,0.28632851181509855,6.406130286276985,6.274677633988119,011,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FBgn0010341,Cdc42,Seed_Negative,0.02602986471046382,4.633510500247284,5.607802957026203,001,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FBgn0261617,nej,Seed_Negative,10.698274396000478,8.415321146690308,5.607802957026203,111,0,0,0,0,0,0,1,1,0,1,1,1,1,0
FBgn0025638,Roc1a,Seed_Negative,10.698274396000478,9.600922395445838,4.81029358819883,110,0,0,0,0,0,0,0,1,0,0,1,0,1,0
FBgn0039102,SPE,Seed_Negative,10.125617372370284,8.415321146690308,4.81029358819883,110,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0039044,p53,Connector_NS,0.09367496997597596,4.667417938195616,0.10612562594483038,001,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FBgn0086785,Vps36,Seed_Negative,9.73516940171334,6.7036285967852045,7.634412216406263,111,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0261885,osa,Seed_Negative,2.7591656593091276,5.234845851366078,2.2058403676235767,110,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FBgn0264270,Sxl,Seed_Negative,14.142135623730951,6.7036285967852045,7.634412216406263,111,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0024291,Sirt1,Seed_Negative,1.060660171779821,6.632357535824207,7.232169330307508,011,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FBgn0015838,Vang,Connector_NS,1.1291384214278863,1.4460839406633683,1.2982289663617923,101,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FBgn0014179,gcm,Connector_NS,0.3011173223031934,4.622004096469002,4.35604101152996,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0003867,tsl,Seed_Positive,2.330892363565146,1.1444212681333652,2.3493742914699247,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FBgn0011274,Dif,Seed_Negative,0.7778174593052022,5.613338599240155,3.5959793493030183,010,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0015799,Rbf,Seed_Positive,5.79827560572969,3.138578324678884,1.0682517955395558,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0
FBgn0043903,dome,Connector_Negative,12.908279862250627,2.696254563150708,7.2512170540052505,010,0,0,0,0,0,0,0,0,0,1,0,0,0,0
FBgn0003124,polo,Seed_Negative,14.129594226926377,7.85187048637467,14.416115138226738,111,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FBgn0033266,Socs44A,Seed_Positive,2.9010171750531866,1.8882319081323842,1.0397320482809045,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0
FBgn0003204,ras,Seed_Negative,3.1466251762801365,1.5663776796634876,1.4525945051198714,100,1,0,0,0,1,0,0,0,0,0,0,0,0,0
FBgn0029840,raptor,Seed_Negative,10.535891039679559,6.719702016102843,2.3281309191647246,110,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FBgn0037351,RpL13A,Seed_Negative,15.383815024430138,4.633510500247284,5.364087957899406,101,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FBgn0011642,Zyx,Seed_Positive,0.4059248698958958,5.791300444559997,2.958251823212157,010,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FBgn0015218,eIF4E1,Seed_Negative,12.177746096876879,6.7036285967852045,4.81029358819883,110,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FBgn0000117,arm,Seed_Negative,4.714973488790789,6.7036285967852045,7.634412216406263,111,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FBgn0003396,shn,Seed_Positive,2.14279823242099,0.9957270751764172,0.6348377713474871,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0
FBgn0027619,eIF3j,Connector_Uknw,0.0,0.0,0.0,010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0005355,Su(fu),Seed_Positive,1.5982060308091541,6.745114047118753,4.629632404390528,010,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0000352,cos,Seed_Negative,14.142135623730951,6.719702016102843,7.634412216406263,111,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0039234,Nct,Connector_NS,1.438671651004141,0.20412504196023556,0.4880976186280927,010,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FBgn0024248,chico,Seed_Negative,2.4041630560342613,2.1777890416139187,1.2005461435008975,100,0,0,0,0,0,1,1,0,0,0,0,0,0,0
FBgn0000635,Fas2,Connector_NS,0.06691496051182153,0.7601980421824016,0.5986102869967175,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0033378,tsu,Seed_Negative,1.0606601717798212,5.316179091215694,1.131461960956098,010,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FBgn0020386,Pdk1,Seed_Negative,2.0152543263816605,4.71077896969428,3.2567301461819937,100,0,0,0,0,0,1,1,0,0,0,0,0,0,0
FBgn0004856,Bx42,Seed_Negative,4.3487067042972685,6.719702016102843,5.607802957026203,111,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FBgn0036790,AstC-R1,Connector_NS,0.16728740127955039,2.432633734983685,3.066726547229337,011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0260632,dl,Connector_NS,0.1060660171779821,1.1587701050298664,3.6414355402320058,010,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0015282,Rpt2,Connector_Negative,12.15259892618284,9.887779003684974,4.016002603988897,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0044028,Notum,Seed_Positive,0.031224989991991997,5.064082352206574,0.888802117287958,010,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FBgn0001624,dlg1,Seed_Negative,13.67126057944227,5.316179091215694,7.174725570733979,111,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FBgn0036974,eRF1,Seed_Negative,7.3924815777716235,8.415321146690308,5.607802957026203,111,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0003205,Ras85D,Seed_Positive,1.2727922061357855,1.1121863822145948,5.100662896973429,001,0,0,0,0,0,0,1,0,0,0,0,0,0,1
FBgn0036046,Ilp2,Seed_Positive,2.1920310216782974,1.7841970922573216,1.6882438375889408,100,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FBgn0025800,Smox,Seed_Negative,5.367750341864879,5.056092051528037,4.254044132533262,110,0,0,0,0,0,0,1,0,0,0,0,0,1,0
FBgn0000047,Act88F,Seed_Negative,0.15135664698474946,9.600922395445838,4.81029358819883,010,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FBgn0023169,AMPKalpha,Seed_Positive,0.8838834764831844,1.5372628529039432,5.233319929404467,001,0,0,0,0,0,1,1,0,0,0,0,0,0,0
FBgn0004177,mts,Seed_Negative,14.762975324080546,6.719702016102843,5.364087957899406,111,0,0,0,0,0,0,0,0,1,0,0,0,1,0
FBgn0010825,Gug,Seed_Negative,4.490128060534577,5.316179091215694,7.232169330307508,111,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FBgn0044323,Cka,Seed_Negative,3.7233735158248438,4.019430795395234,3.8133060107778167,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FBgn0259984,kuz,Seed_Positive,0.5993694165362393,5.303415632813156,0.5008811773934295,010,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FBgn0261854,aPKC,Seed_Negative,0.7548660766034402,9.5248754853829,4.785009522032213,010,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FBgn0003430,slp1,Seed_Positive,0.8485281374238569,5.1301930878750674,1.9168941186285058,110,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FBgn0000046,Act87E,Seed_Positive,1.489237437799439,1.5207329608539701,6.80440634524302,001,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FBgn0004638,drk,Connector_NS,0.06244997998398397,1.2002466958471878,1.1188199278727895,010,1,1,0,0,1,0,1,0,0,1,0,0,0,1
FBgn0003892,ptc,Seed_Negative,12.97640616625588,5.316179091215694,7.203447450520744,111,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0016917,Stat92E,Connector_Negative,4.048355110965144,5.017935001838216,11.852483682535008,010,0,0,0,0,0,0,0,0,0,1,0,0,0,0
FBgn0027535,botv,Connector_NS,0.33298462336644896,1.2560721235610106,1.4521258183457324,001,0,0,0,0,0,0,0,1,0,0,1,0,1,0
FBgn0260945,Atg1,Seed_Positive,0.6869497798238237,5.1301930878750674,4.503706251033756,010,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FBgn0005198,gig,Connector_NS,1.2296055480636392,1.3165176791252775,0.23755937306413397,111,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FBgn0021874,Nle,Seed_Negative,13.67126057944227,7.85187048637467,5.364087957899406,111,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FBgn0002973,numb,Seed_Negative,0.10606601717798211,5.316179091215694,0.2387921892224488,010,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FBgn0262029,d,Connector_NS,1.2713958346718974,3.3319810776920544,0.6035894975612246,010,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FBgn0036196,CG11658,Seed_Negative,0.6557247898318318,6.670573228950957,6.341006150203638,011,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FBgn0002174,CG5504,Seed_Negative,3.2161739691751743,1.844489525150959,4.119000856983743,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0010909,msn,Seed_Negative,6.869497798238238,6.7036285967852045,7.634412216406263,111,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FBgn0026379,Pten,Seed_Positive,2.7591656593091267,3.907779939967588,1.5701848279673365,100,0,0,0,0,0,1,1,0,0,0,0,0,0,0
FBgn0031450,Hrs,Seed_Negative,0.07808959413139073,5.700683079518789,5.0476000840010125,011,0,0,0,0,0,0,0,0,0,1,0,0,0,0
FBgn0025674,CycK,Connector_Negative,5.954371961386481,6.680075250660268,6.0664305518313695,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0001169,H,Seed_Positive,2.449361806482032,3.781665557058522,1.523364986538657,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FBgn0014020,Rho1,Seed_Negative,14.142135623730951,6.719702016102843,7.634412216406263,111,0,0,0,1,1,0,0,0,0,0,1,0,1,0
FBgn0021944,Coprox,Connector_NS,0.10037244076773182,0.30407921687296063,0.02762816709215619,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0263396,sqd,Connector_NS,0.9059778119776418,2.1751380630367474,1.7823831781748483,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000042,Act5C,Seed_Negative,3.50017856687341,6.719702016102843,4.81029358819883,110,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FBgn0264492,CkIIalpha,Seed_Negative,4.71497348879079,4.633510500247284,5.584191155101881,101,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FBgn0010504,kermit,Seed_Positive,0.23426878239417087,6.137820439278825,4.0644136362836365,010,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FBgn0000546,EcR,Connector_NS,0.730763831624705,0.03835116271255875,1.032505745042165,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0011726,tsr,Connector_Negative,13.483364543131838,10.703588433928212,11.852483682535008,010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0035640,mad2,Connector_Negative,1.5055866115159615,5.655873433837067,1.0774985165940916,010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0086613,Ino80,Connector_NS,1.2135562885989362,1.879398852614028,2.7195315815835928,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0001235,hth,Seed_Negative,5.444722215136415,3.4443693283284915,1.7382795489548992,100,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FBgn0037218,aux,Seed_Negative,0.31819805153394637,6.661472362583753,5.014635973671432,011,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FBgn0000259,CkIIbeta,Seed_Negative,2.733135794598665,8.371353951566538,5.277237730085711,111,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FBgn0023540,CG3630,Connector_Negative,11.04096848445039,10.703588433928212,11.852483682535008,010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0261988,Gprk2,Seed_Negative,0.4945674294988064,8.239452366195215,5.4189085416316365,011,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0032006,Pvr,Seed_Positive,0.8131727983645296,6.518518536913422,2.281700957813862,010,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0003984,vn,Seed_Negative,2.2125385003893947,2.1492789669821737,1.3576786106484489,100,0,0,0,0,1,0,0,0,1,0,0,0,0,0
FBgn0003444,smo,Connector_Negative,2.212538500389395,4.326372000179345,0.22431211828104808,111,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0005777,PpD3,Connector_NS,0.5687771643504737,0.2432633734983685,4.0245030064240845,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0037874,Tctp,Connector_NS,1.905677466573659,6.976040401372835,3.9483171668430175,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0001139,gro,Seed_Negative,3.8890872965260117,1.3334590655871326,7.6012479582985035,101,0,0,0,0,1,0,0,0,0,0,1,1,0,0
FBgn0046692,Stlk,Seed_Positive,1.48492424049175,6.683795376084657,2.944986119969054,010,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FBgn0003041,pbl,Connector_Negative,14.319964205467448,12.15634286748611,11.852483682535008,010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0261592,RpS6,Seed_Negative,4.737435377304352,8.415321146690308,5.607802957026203,111,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FBgn0010379,Akt1,Seed_Negative,13.435028842544401,5.316179091215694,7.232169330307508,111,0,0,0,0,0,1,1,0,0,1,0,0,0,0
FBgn0029175,sotv,Seed_Negative,14.142135623730951,6.399438921747852,6.506827440742437,111,0,0,0,0,0,0,0,1,0,0,1,0,1,0
FBgn0041627,Ku80,Connector_NS,1.108163024798095,0.4218766344400376,0.7322010469654983,010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0026250,eIF1A,Seed_Negative,11.684733147222685,4.633510500247284,5.607802957026203,101,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0045035,tefu,Seed_Negative,2.934493141924173,4.390515875339291,6.9736724122266205,101,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FBgn0030904,upd2,Seed_Negative,4.340273608886885,6.7036285967852045,7.634412216406263,111,0,0,0,0,0,0,0,0,1,1,0,0,0,0
FBgn0003607,Su(var)205,Connector_NS,1.806703933819156,7.541164578449424,10.231631213128509,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0028509,CenG1A,Connector_NS,1.0706393681891302,1.4595802409902112,0.6354478431195923,010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0030018,slpr,Connector_NS,1.4052141707482328,0.703916107408993,0.5617727308738426,001,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FBgn0011259,Sema1a,Connector_Positive,2.3754810981696304,0.9122376506188821,4.540228792144334,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0259176,bun,Seed_Negative,3.045483179414043,2.254376086295616,0.0349451984227971,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0
FBgn0002121,l(2)gl,Seed_Positive,0.4358743720388606,1.3329881508719983,5.618166013868934,001,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FBgn0004110,tin,Seed_Positive,0.7424621202458749,2.3350091061154585,6.659383028038131,001,0,0,0,0,0,0,0,0,0,0,1,0,1,0
FBgn0003612,Su(var)2-10,Seed_Negative,13.67126057944227,5.290170387246928,7.232169330307508,111,0,0,0,0,0,0,0,0,0,1,0,0,0,0
FBgn0000499,dsh,Connector_NS,0.6010407640085653,2.122154614958629,0.8556378591801984,111,0,0,0,0,0,0,0,0,0,0,1,1,0,0
FBgn0262866,S6kII,Seed_Positive,1.0928746497197197,5.9565772837312325,0.07296136783707077,010,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FBgn0031610,CG15436,Connector_NS,0.8698944866536662,1.5508040060520991,6.750482159516831,010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0036136,Ufd1-like,Connector_Negative,13.483364543131838,10.703588433928212,11.852483682535008,010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0023518,trr,Seed_Negative,5.79827560572969,5.316179091215694,7.232169330307508,111,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0034970,yki,Seed_Negative,2.762046292415909,3.9897351888086474,7.059838051586918,101,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FBgn0014011,Rac2,Seed_Negative,3.9958154803973946,9.600922395445838,4.81029358819883,110,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FBgn0001965,Sos,Seed_Negative,4.638153208019167,5.1861355713718655,6.85878489307956,111,1,1,0,0,1,0,1,0,0,1,0,0,0,1
FBgn0040078,pont,Connector_NS,0.3345748025591038,2.4410509665451494,2.6246758737548377,001,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FBgn0033649,pyr,Seed_Negative,0.031224989991992008,3.9915180815383215,5.607802957026203,001,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0022787,Hel89B,Seed_Positive,2.5883326891193095,1.5241100525696654,0.6257127509945025,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0002643,mam,Seed_Negative,4.101219330881976,2.0904445613352864,1.5465730260430155,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FBgn0041191,Rheb,Seed_Negative,1.302852024724486,4.483900564215193,5.078028346300108,001,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FBgn0004837,Su(H),Seed_Positive,2.1430489958577295,1.7648012138305325,1.7239631221913396,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FBgn0026181,Rok,Seed_Positive,2.8455049633132954,2.679620530263489,1.9405520782878327,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0
FBgn0004858,elB,Seed_Positive,2.4395183950935886,1.1807951601819593,3.80902662808492,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FBgn0023172,RhoGEF2,Connector_Positive,5.152451959410183,1.0338693373680663,0.4144225063823429,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0021796,Tor,Seed_Negative,11.55324629703704,6.7036285967852045,7.634412216406263,111,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FBgn0035213,CG2199,Connector_Negative,13.009530304821459,5.630507774707991,7.2512170540052505,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0014343,mirr,Seed_Negative,0.8329556707348313,3.265787521258628,5.3460784069708485,001,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0261014,TER94,Connector_NS,0.2811655278551305,0.5979463201176716,0.925034307660364,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0040296,Ocho,Seed_Negative,14.142135623730951,6.719702016102843,4.81029358819883,110,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FBgn0024846,p38b,Connector_NS,1.0284824296940291,0.10252190114260959,3.964675085055148,111,0,0,0,0,0,0,1,0,0,0,0,0,0,1
FBgn0015268,Nap1,Connector_Positive,2.3118054512532926,0.6672734296965319,1.0604051819521247,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0038167,Lkb1,Connector_NS,2.1366773205481544,2.5904669152890563,1.0684539280676697,101,0,0,0,0,0,1,1,0,0,0,0,0,0,0
FBgn0011692,pav,Seed_Negative,8.433676166190164,4.633510500247284,5.584191155101881,101,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0020496,CtBP,Seed_Negative,6.305803799666508,5.290170387246928,6.686453614358968,111,0,0,0,0,0,0,0,0,0,0,1,1,0,0
